filename,type,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_rolloff,rms_energy
confirm_transaction_2.wav,original,-271.16412353515625,132.12307739257812,-25.095985412597656,26.02117347717285,3.2175536155700684,22.381969451904297,-6.453958034515381,-10.616083145141602,-10.482688903808594,11.837434768676758,-22.61363410949707,-0.5698383450508118,-11.264570236206055,5330.375800075301,0.08308675
confirm_transaction_2.wav,pitch_shift(+2),-295.77740478515625,117.2794418334961,-21.956533432006836,23.297758102416992,7.762427806854248,12.887722969055176,-11.01183795928955,-16.093236923217773,1.58346426486969,-2.386369228363037,-19.062137603759766,0.8109045624732971,-3.7166078090667725,6077.552004894578,0.057207756
confirm_transaction_2.wav,time_stretch(1.2x),-297.34979248046875,128.39442443847656,-22.700305938720703,25.88238525390625,5.31975793838501,20.79119873046875,-5.104724407196045,-12.437055587768555,-9.831779479980469,10.699006080627441,-22.08113670349121,-1.09549081325531,-9.88619327545166,5396.407948369565,0.05865014
confirm_transaction_2.wav,noisy,-216.25029832290124,80.01492639497152,3.401798087878341,10.629039339805676,12.6605299954714,12.677869146545202,-1.7741803815687671,-12.518859412692189,-4.5268723110371125,2.7814625228242447,-12.118190240098444,-7.536851715230288,-3.423096097178089,10316.99865869729,0.08342971
yes_approve_3.wav,original,-405.85797119140625,163.89022827148438,15.300405502319336,43.18096160888672,15.037775039672852,-8.331311225891113,10.712846755981445,-4.623807430267334,-14.522448539733887,-10.575002670288086,-3.4925758838653564,1.9316915273666382,0.7328929901123047,2263.677978515625,0.055396654
yes_approve_3.wav,pitch_shift(+2),-419.60369873046875,149.95228576660156,18.49410057067871,41.85486602783203,4.267036437988281,-7.485670566558838,8.297039031982422,-13.233380317687988,-16.550100326538086,-6.33553409576416,1.3368116617202759,1.6928584575653076,-0.9219588041305542,2658.0047607421875,0.042823303
yes_approve_3.wav,time_stretch(1.2x),-423.1672058105469,157.0727996826172,18.88641357421875,44.01091003417969,16.155410766601562,-8.12450122833252,11.28091049194336,-3.93937349319458,-16.100954055786133,-10.948881149291992,-3.4745821952819824,2.53116512298584,1.9577747583389282,2280.5619673295455,0.04797918
yes_approve_3.wav,noisy,-278.109458249044,64.7884926184453,31.042792397323893,31.61507284588535,15.74331227248631,0.31846246095170455,3.7958659875694045,-2.750587495242519,-11.320160757403665,-7.979064812687923,-4.957397244238555,-1.801829948591098,1.9108570981076933,13658.5107421875,0.05585281
yes_approve_4.wav,original,-428.7650451660156,120.89423370361328,4.788064479827881,53.97649383544922,4.647243499755859,9.299064636230469,-10.805952072143555,-5.42572021484375,-9.869174003601074,-9.031487464904785,4.9478960037231445,-9.376641273498535,-19.782997131347656,5832.527949892241,0.029246472
yes_approve_4.wav,pitch_shift(+2),-450.05078125,109.95484161376953,13.68726921081543,47.29973220825195,-0.5948910117149353,2.4548563957214355,-14.616571426391602,-4.799649238586426,-12.34711742401123,-3.6134767532348633,-1.2283432483673096,-20.06570053100586,-11.076967239379883,6273.0304586476295,0.022712214
yes_approve_4.wav,time_stretch(1.2x),-454.361083984375,117.0013427734375,9.355284690856934,52.87422180175781,5.238111972808838,6.603261470794678,-11.3344087600708,-6.068996906280518,-10.267980575561523,-8.72946834564209,4.812114238739014,-9.76081657409668,-19.860265731811523,5542.5567626953125,0.022745527
yes_approve_4.wav,noisy,-290.2303397129113,43.67403389520218,23.26913273627269,28.26557248370109,8.602108126761562,1.2829764248830335,-3.738201180819643,-7.270133509281487,-6.7729309346757445,-5.764540443199363,-2.7562142922058843,-8.172128022062621,-10.97385760328026,15134.314806707975,0.030593768
yes_approve_1.wav,original,-307.21197509765625,121.92304992675781,17.146804809570312,56.382728576660156,-21.858318328857422,25.516462326049805,1.3099733591079712,12.796967506408691,0.37664100527763367,-3.076200485229492,-19.791772842407227,1.4233269691467285,-11.419769287109375,6219.922388980263,0.06273595
yes_approve_1.wav,pitch_shift(+2),-333.6412353515625,106.99523162841797,23.395498275756836,41.042057037353516,-18.41809844970703,26.40047836303711,0.8011981248855591,8.732246398925781,-4.55164909362793,-15.27547550201416,-12.312018394470215,-0.012562922202050686,-6.131260871887207,7701.180098684211,0.039755464
yes_approve_1.wav,time_stretch(1.2x),-335.0601501464844,115.45669555664062,18.89763641357422,54.33309555053711,-20.434490203857422,25.164318084716797,3.054973840713501,12.65107250213623,1.6234875917434692,-5.2871994972229,-19.405790328979492,1.4239420890808105,-10.670086860656738,6380.369857594937,0.047903497
yes_approve_1.wav,noisy,-239.3613980884405,68.33252799201779,32.55458751870881,34.35237718214924,0.2561302132037902,11.5343146946488,9.662535868138677,7.274155384884804,3.6102582359634274,-10.041700843235626,-10.606964901207993,-4.745676267084316,-4.167434011715952,12749.016241776315,0.06305843
confirm_transaction_4.wav,original,-315.6536560058594,156.60610961914062,14.158578872680664,27.842004776000977,-4.530815124511719,-18.956951141357422,-19.474599838256836,3.4052700996398926,-14.22887897491455,-20.721540451049805,5.107500076293945,-1.9985309839248657,-13.342312812805176,3299.2359058277025,0.08494333
confirm_transaction_4.wav,pitch_shift(+2),-338.47265625,146.73350524902344,14.364764213562012,22.5423641204834,-14.068083763122559,-23.629226684570312,-11.923005104064941,3.0474486351013184,-20.269908905029297,-7.344234943389893,7.397140979766846,-11.24010944366455,-7.005149841308594,3638.6748442778717,0.063303165
